order_id,user_id,order_ts,status,pay_amount,pay_channel,dt
O0001,U0001,2026-07-13 19:44:12,paid,168.00,alipay,2026-07-13
O0002,U0001,2026-07-16 09:21:01,completed,288.00,card,2026-07-16
O0003,U0001,2026-07-18 11:04:57,completed,45.00,alipay,2026-07-18
O0004,U0001,2026-07-22 18:31:13,paid,198.00,wechat,2026-07-22
O0005,U0001,2026-07-27 11:06:06,completed,168.00,alipay,2026-07-27
O0006,U0002,2026-07-11 18:06:03,paid,45.00,alipay,2026-07-11
O0007,U0002,2026-07-14 16:28:08,paid,136.00,alipay,2026-07-14
O0008,U0002,2026-07-19 20:55:54,paid,288.00,alipay,2026-07-19
O0009,U0002,2026-07-24 15:30:13,shipped,337.00,wechat,2026-07-24
O0010,U0002,2026-07-29 12:27:44,paid,437.00,card,2026-07-29
O0011,U0003,2026-07-09 08:47:20,completed,198.00,card,2026-07-09
O0012,U0003,2026-07-12 08:32:05,paid,497.00,card,2026-07-12
O0013,U0003,2026-07-15 17:38:02,paid,198.00,card,2026-07-15
O0014,U0003,2026-07-19 11:16:25,shipped,136.00,alipay,2026-07-19
O0015,U0003,2026-07-21 15:39:36,paid,647.00,alipay,2026-07-21
O0016,U0004,2026-07-05 10:28:53,completed,68.00,card,2026-07-05
O0017,U0004,2026-07-09 22:42:06,shipped,446.00,card,2026-07-09
O0018,U0004,2026-07-12 19:21:13,paid,295.00,alipay,2026-07-12
O0019,U0004,2026-07-17 21:17:02,paid,79.00,card,2026-07-17
O0020,U0005,2026-07-09 19:27:35,completed,299.00,alipay,2026-07-09
O0021,U0005,2026-07-13 17:35:09,shipped,129.00,alipay,2026-07-13
O0022,U0005,2026-07-17 11:43:15,paid,249.00,alipay,2026-07-17
O0023,U0005,2026-07-20 22:26:01,completed,90.00,card,2026-07-20
O0024,U0006,2026-07-05 10:50:44,paid,258.00,alipay,2026-07-05
O0025,U0006,2026-07-10 13:19:52,shipped,288.00,wechat,2026-07-10
O0026,U0006,2026-07-14 21:04:49,completed,318.00,card,2026-07-14
O0027,U0007,2026-07-01 09:56:16,paid,68.00,card,2026-07-01
O0028,U0007,2026-07-06 13:46:50,shipped,99.00,card,2026-07-06
O0029,U0007,2026-07-09 12:02:45,shipped,159.00,wechat,2026-07-09
O0030,U0007,2026-07-11 18:58:21,shipped,435.00,wechat,2026-07-11
O0031,U0008,2026-07-05 16:08:12,completed,39.00,card,2026-07-05
O0032,U0008,2026-07-09 14:35:53,shipped,68.00,card,2026-07-09
O0033,U0008,2026-07-15 18:20:29,completed,378.00,alipay,2026-07-15
O0034,U0008,2026-07-17 12:32:42,paid,344.00,alipay,2026-07-17
O0035,U0008,2026-07-20 08:02:15,shipped,895.00,wechat,2026-07-20
O0036,U0009,2026-07-03 18:44:00,completed,338.00,card,2026-07-03
O0037,U0009,2026-07-08 08:35:15,completed,955.00,card,2026-07-08
O0038,U0009,2026-07-14 14:53:58,shipped,158.00,wechat,2026-07-14
O0039,U0010,2026-07-11 12:49:49,shipped,189.00,alipay,2026-07-11
O0040,U0010,2026-07-15 11:17:21,paid,159.00,alipay,2026-07-15
O0041,U0010,2026-07-18 14:44:09,completed,637.00,wechat,2026-07-18
O0042,U0011,2026-07-01 11:53:26,completed,99.00,wechat,2026-07-01
O0043,U0011,2026-07-06 08:22:19,paid,357.00,wechat,2026-07-06
O0044,U0011,2026-07-11 15:01:24,shipped,39.00,alipay,2026-07-11
O0045,U0011,2026-07-17 16:01:58,paid,99.00,card,2026-07-17
O0046,U0012,2026-07-03 21:29:11,paid,39.00,wechat,2026-07-03
O0047,U0012,2026-07-07 13:48:56,paid,39.00,wechat,2026-07-07
O0048,U0012,2026-07-09 19:34:03,paid,533.00,alipay,2026-07-09
O0049,U0012,2026-07-15 10:15:08,shipped,299.00,card,2026-07-15
O0050,U0013,2026-07-13 13:10:38,completed,378.00,alipay,2026-07-13
O0051,U0013,2026-07-17 17:43:58,completed,527.00,card,2026-07-17
O0052,U0013,2026-07-19 20:36:50,completed,318.00,wechat,2026-07-19
O0053,U0013,2026-07-21 16:41:21,paid,78.00,wechat,2026-07-21
