user_id,register_dt,city,gender,channel
U0001,2026-04-01,哈尔滨,M,web
U0002,2026-05-17,北京,M,app
U0003,2026-03-19,哈尔滨,M,web
U0004,2026-04-28,哈尔滨,M,app
U0005,2026-05-25,北京,M,web
U0006,2026-05-27,成都,F,app
U0007,2026-04-25,杭州,F,app
U0008,2026-03-16,北京,F,wechat
U0009,2026-05-17,北京,M,wechat
U0010,2026-06-08,哈尔滨,F,app
U0011,2026-05-07,上海,F,app
U0012,2026-03-20,深圳,M,wechat
U0013,2026-06-11,杭州,F,web
U0014,2026-04-03,上海,M,web
U0015,2026-06-13,哈尔滨,M,wechat
U0016,2026-06-11,北京,M,wechat
U0017,2026-05-17,深圳,F,app
U0018,2026-05-05,上海,M,web
U0019,2026-05-18,成都,M,web
U0020,2026-04-01,北京,M,app
U0021,2026-04-23,深圳,F,web
U0022,2026-03-25,杭州,M,web
U0023,2026-05-11,哈尔滨,M,app
U0024,2026-03-10,上海,F,wechat
U0025,2026-06-13,北京,F,app
U0026,2026-03-30,深圳,F,web
U0027,2026-04-24,北京,F,app
U0028,2026-05-21,成都,F,web
U0029,2026-04-08,深圳,F,wechat
U0030,2026-05-24,北京,F,app
U0031,2026-03-17,哈尔滨,M,app
U0032,2026-04-02,北京,F,web
U0033,2026-06-13,深圳,F,web
U0034,2026-04-23,杭州,F,web
U0035,2026-03-03,哈尔滨,M,web
U0036,2026-04-14,上海,F,app
U0037,2026-05-15,深圳,M,wechat
U0038,2026-06-21,成都,F,web
U0039,2026-03-16,北京,M,web
U0040,2026-05-14,成都,M,app
U0041,2026-05-05,北京,M,web
U0042,2026-05-11,深圳,M,app
U0043,2026-05-06,上海,M,app
U0044,2026-05-22,杭州,M,app
U0045,2026-03-20,深圳,M,web
U0046,2026-03-15,北京,M,web
U0047,2026-04-22,杭州,M,wechat
U0048,2026-04-15,杭州,F,app
